Покупатель,Тикер покупателя,Объект сделки,Дата объявления сделки,Время объявления сделки,Дата закрытия сделки,Время закрытия сделки,Статус сделки,"Цена сделки, млн USD","Доля участия, %",Вид сделки,Тип сделки,Направление интеграции,Тип национальности,Дата завершения,Дата переговоров,Дата оформления,Дата актуализации,Дата создания,Отрасль объекта,Регион объекта,Отрасль покупателя,Регион покупателя,Капитализация покупателя на момент сделки,Опыт покупателя в M&A,Диверсификация выручки,Развитие основного бизнеса,Снижение себестоимости основного бизнеса,Покупка клиентской базы,Источник информации,audit_row_status,audit_skip_reason,audit_notes,audit_exception,audit_resolved_flag,audit_resolved_ticker,audit_resolved_name,audit_resolved_class_code,audit_resolved_uid,audit_resolved_figi,audit_rate_limit_hits,audit_first_press_release_date_parsed,audit_first_press_release_time_parsed,audit_cbonds_actualization_date_parsed,audit_cbonds_create_date_parsed,audit_is_off_market_release,audit_release_anchor_trade_date,audit_release_anchor_timestamp_msk,audit_release_anchor_reason,audit_python_version,audit_run_ts,audit_deal_close_date_parsed,source_row_excel,buyer_company_std,buyer_company_norm,buyer_ticker_std,buyer_ticker_norm,deal_object_std,deal_object_norm,announcement_date_std,completion_date_std,actualization_date_std,creation_date_std,announcement_time_std,completion_time_std,deal_value_usd_mn_std,stake_pct_std,deal_status_clean,deal_kind_clean,deal_type_clean,integration_direction_clean
Промсвязьбанк (ПСБ),PSBR,Юг Сибири,12.08.2015,,,,Переговоры,,"74,99%",Покупка,Рыночная,Круговая,Внутренняя,,8.2015,,12.08.2015,12.08.2015,Пищевая промышленность,Россия (СФО),Финансы / Инвестиции / Страхование / Консалтинг,Россия,0.001523,,0.001067,,,,,unresolved,unresolved,resolve_method=none; reason=unresolved,,0,PSBR,,,,,0,2015-08-12,,2015-08-12,2015-08-12,,,,,3.12.9,2026-03-29T18:04:43.263077+03:00,,136,Промсвязьбанк (ПСБ),промсвязьбанк псб,PSBR,PSBR,Юг Сибири,юг сибири,2015-08-12,,2015-08-12,2015-08-12,,,,74.99,Переговоры,Покупка,Рыночная,Круговая
Альфа-банк,ACBR,Балтийский банк,29.08.2014,13:34,07.07.2015,,Завершена,,"10,90%",Консолидация,Рыночная,Горизонтальная,Внутренняя,7.2015,,,08.07.2015,21.08.2014,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,unresolved,unresolved,resolve_method=none; reason=unresolved,,0,ACBR,,,,,0,2014-08-29,13:34,2015-07-08,2014-08-21,,,,,3.12.9,2026-03-29T18:04:43.266260+03:00,2015-07-07,137,Альфа-банк,альфа банк,ACBR,ACBR,Балтийский банк,балтийский банк,2014-08-29,2015-07-07,2015-07-08,2014-08-21,13:34,,,10.9,Завершена,Консолидация,Рыночная,Горизонтальная
Сбер (Сбербанк),SBER,Лизинговая компания Европлан,09.07.2015,00:20,,,Переговоры,"37,00—74,00","25,10%",Влияние,Рыночная,Круговая,Внутренняя,,7.2015,,10.07.2015,09.07.2015,Транспорт,Россия,Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",1.366531,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_intraday_on_release_day,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2015-07-09,00:20,2015-07-10,2015-07-09,0.0,,,no_intraday_on_release_day,3.12.9,2026-03-29T18:04:43.267795+03:00,,138,Сбер (Сбербанк),сбер сбербанк,SBER,SBER,Лизинговая компания Европлан,лизинговая компания европлан,2015-07-09,,2015-07-10,2015-07-09,00:20,,,25.1,Переговоры,Влияние,Рыночная,Круговая
Промсвязьбанк (ПСБ),PSBR,Банк Возрождение,13.07.2015,,,,Завершена,,"24,73%",Участие,Рыночная,Горизонтальная,Внутренняя,7.2015,,,13.07.2015,13.07.2015,Финансы / Инвестиции / Страхование / Консалтинг,"Россия (СЗФО, ЦФО, ДФО, ЮФО, СФО, ПФО, СКФО)",Финансы / Инвестиции / Страхование / Консалтинг,Россия,0.001166,,0.001161,,,,,unresolved,unresolved,resolve_method=none; reason=unresolved,,0,PSBR,,,,,0,2015-07-13,,2015-07-13,2015-07-13,,,,,3.12.9,2026-03-29T18:04:43.273097+03:00,,139,Промсвязьбанк (ПСБ),промсвязьбанк псб,PSBR,PSBR,Банк Возрождение,банк возрождение,2015-07-13,,2015-07-13,2015-07-13,,,,24.73,Завершена,Участие,Рыночная,Горизонтальная
Промсвязьбанк (ПСБ),PSBR,Автовазбанк (АВБ),07.08.2015,09:16,,,Оформление,"13,11—21,85","100,00%",Полное приобретение,Рыночная,Горизонтальная,Внутренняя,,6.2015,7.2015,28.07.2015,18.06.2015,Финансы / Инвестиции / Страхование / Консалтинг,"Кипр, Россия (ЦФО, ПФО)",Финансы / Инвестиции / Страхование / Консалтинг,Россия,0.001204,,0.001523,,,,,unresolved,unresolved,resolve_method=none; reason=unresolved,,0,PSBR,,,,,0,2015-08-07,09:16,2015-07-28,2015-06-18,,,,,3.12.9,2026-03-29T18:04:43.274355+03:00,,140,Промсвязьбанк (ПСБ),промсвязьбанк псб,PSBR,PSBR,Автовазбанк (АВБ),автовазбанк авб,2015-08-07,,2015-07-28,2015-06-18,09:16,,,100.0,Оформление,Полное приобретение,Рыночная,Горизонтальная
Т-банк (Тинькофф),T,НПФ Уралсиб,02.11.2015,08:12,23.11.2015,10:14,Отменена,"25,08","100,00%",Полное приобретение,Рыночная,Параллельная,Внутренняя,,5.2015,,23.11.2015,06.05.2015,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_trade_days_near_release,,1,T,Т-Технологии,TQBR,87db07bc-0e02-4e29-90bb-05e8ef791d7b,TCS80A107UL4,0,2015-11-02,08:12,2015-11-23,2015-05-06,0.0,,,no_trade_days_near_release,3.12.9,2026-03-29T18:04:43.275247+03:00,2015-11-23,141,Т-банк (Тинькофф),т банк тинькофф,T,T,НПФ Уралсиб,нпф уралсиб,2015-11-02,2015-11-23,2015-11-23,2015-05-06,08:12,10:14,25.08,100.0,Отменена,Полное приобретение,Рыночная,Параллельная
Сбер (Сбербанк),SBER,Plazius (Platius),12.03.2015,,12.03.2015,13:00,Завершена,,"51,00%",Покупка,Рыночная,Вертикальная,Внутренняя,3.2015,,,13.03.2015,12.03.2015,Телекоммуникации,Россия,Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",0.877272,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2015-03-12,,2015-03-13,2015-03-12,0.0,2015-03-12,2015-03-12T10:00:00+03:00,time_missing_same_day_open,3.12.9,2026-03-29T18:04:43.276047+03:00,2015-03-12,142,Сбер (Сбербанк),сбер сбербанк,SBER,SBER,Plazius (Platius),plazius platius,2015-03-12,2015-03-12,2015-03-13,2015-03-12,,13:00,,51.0,Завершена,Покупка,Рыночная,Вертикальная
Сбер (Сбербанк),SBER,RuTarget,12.03.2015,,12.03.2015,16:45,Завершена,,"100,00%",Покупка,Рыночная,Вертикальная,Внутренняя,3.2015,,,13.03.2015,12.03.2015,Телекоммуникации,Россия,Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",0.877272,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2015-03-12,,2015-03-13,2015-03-12,0.0,2015-03-12,2015-03-12T10:00:00+03:00,time_missing_same_day_open,3.12.9,2026-03-29T18:04:43.280892+03:00,2015-03-12,143,Сбер (Сбербанк),сбер сбербанк,SBER,SBER,RuTarget,rutarget,2015-03-12,2015-03-12,2015-03-13,2015-03-12,,16:45,,100.0,Завершена,Покупка,Рыночная,Вертикальная
ПАО Совкомбанк,SVCB,Современный коммерческий ипотечный банк (СКИБ) (ICICI Bank Eurasia Limited Liability Company (IBEL)),08.12.2014,,,,Завершена,"3,60","100,00%",Полное приобретение,Рыночная,Горизонтальная,Внутренняя,3.2015,12.2014,12.2014,18.03.2015,08.12.2014,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_trade_days_near_release,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2014-12-08,,2015-03-18,2014-12-08,0.0,,,no_trade_days_near_release,3.12.9,2026-03-29T18:04:43.283110+03:00,,144,ПАО Совкомбанк,пао совкомбанк,SVCB,SVCB,Современный коммерческий ипотечный банк (СКИБ) (ICICI Bank Eurasia Limited Liability Company (IBEL)),современный коммерческий ипотечный банк скиб icici bank eurasia limited liability company ibel,2014-12-08,,2015-03-18,2014-12-08,,,3.6,100.0,Завершена,Полное приобретение,Рыночная,Горизонтальная
Яндекс,YDEX,Метабар / Сервис Советник,09.12.2014,,09.12.2014,03:12,Завершена,"5,00","100,00%",Полное приобретение,Рыночная,Горизонтальная,Внутренняя,12.2014,,,09.12.2014,09.12.2014,Телекоммуникации,Россия,Телекоммуникации,Россия,,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,YDEX,Яндекс,TQBR,7de75794-a27f-4d81-a39b-492345813822,TCS00A107T19,0,2014-12-09,,2014-12-09,2014-12-09,0.0,2014-12-09,2014-12-09T10:00:00+03:00,time_missing_same_day_open,3.12.9,2026-03-29T18:04:43.285447+03:00,2014-12-09,145,Яндекс,яндекс,YDEX,YDEX,Метабар / Сервис Советник,метабар сервис советник,2014-12-09,2014-12-09,2014-12-09,2014-12-09,,03:12,5.0,100.0,Завершена,Полное приобретение,Рыночная,Горизонтальная
Сбер (Сбербанк),SBER,НПО Мостовик (г. Омск),18.11.2014,14:38,10.12.2014,14:01,Оформление,,"42,77%",Консолидация,Рыночная,Круговая,Внутренняя,,11.2014,12.2014,11.12.2014,05.05.2014,Строительство,Россия (СФО),Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",1.87459,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_intraday_on_release_day,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2014-11-18,14:38,2014-12-11,2014-05-05,0.0,,,no_intraday_on_release_day,3.12.9,2026-03-29T18:04:43.288323+03:00,2014-12-10,146,Сбер (Сбербанк),сбер сбербанк,SBER,SBER,НПО Мостовик (г. Омск),нпо мостовик г омск,2014-11-18,2014-12-10,2014-12-11,2014-05-05,14:38,14:01,,42.77,Оформление,Консолидация,Рыночная,Круговая
Сбер (Сбербанк),SBER,Промстройгрупп,28.11.2014,,28.11.2014,17:22,Оформление,,"51,00%",Покупка,Рыночная,Круговая,Внутренняя,,,11.2014,28.11.2014,28.11.2014,Строительство,"Беларусь, Казахстан, Россия",Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",1.87459,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2014-11-28,,2014-11-28,2014-11-28,0.0,2014-11-28,2014-11-28T10:00:00+03:00,time_missing_same_day_open,3.12.9,2026-03-29T18:04:43.290420+03:00,2014-11-28,147,Сбер (Сбербанк),сбер сбербанк,SBER,SBER,Промстройгрупп,промстройгрупп,2014-11-28,2014-11-28,2014-11-28,2014-11-28,,17:22,,51.0,Оформление,Покупка,Рыночная,Круговая
Альфа-банк,ACBR,Балтийский банк,29.08.2014,13:34,,,Завершена,,"89,00%",Поглощение,Рыночная,Горизонтальная,Внутренняя,10.2014,8.2014,,15.10.2014,21.08.2014,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,unresolved,unresolved,resolve_method=none; reason=unresolved,,0,ACBR,,,,,0,2014-08-29,13:34,2014-10-15,2014-08-21,,,,,3.12.9,2026-03-29T18:04:43.292561+03:00,,148,Альфа-банк,альфа банк,ACBR,ACBR,Балтийский банк,балтийский банк,2014-08-29,,2014-10-15,2014-08-21,13:34,,,89.0,Завершена,Поглощение,Рыночная,Горизонтальная
Яндекс,YDEX,Adfox,11.09.2014,,10.09.2014,16:57,Завершена,"11,30","100,00%",Полное приобретение,Рыночная,Горизонтальная,Внутренняя,9.2014,,,11.09.2014,11.09.2014,Телекоммуникации,Россия (ЦФО),Телекоммуникации,Россия,,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,YDEX,Яндекс,TQBR,7de75794-a27f-4d81-a39b-492345813822,TCS00A107T19,0,2014-09-11,,2014-09-11,2014-09-11,0.0,2014-09-11,2014-09-11T10:00:00+04:00,time_missing_same_day_open,3.12.9,2026-03-29T18:04:43.293312+03:00,2014-09-10,149,Яндекс,яндекс,YDEX,YDEX,Adfox,adfox,2014-09-11,2014-09-10,2014-09-11,2014-09-11,,16:57,11.3,100.0,Завершена,Полное приобретение,Рыночная,Горизонтальная
Сбер (Сбербанк),SBER,Сеть солнечных электростанций (СЭС) в Крыму компании Activ Solar,26.08.2014,00:20,,,Переговоры,"100,00","33,33%",Влияние,Рыночная,Круговая,Внутренняя,,8.2014,,27.08.2014,26.08.2014,Энергетика,Россия (ЮФО),Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",2.454004,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_intraday_on_release_day,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2014-08-26,00:20,2014-08-27,2014-08-26,0.0,,,no_intraday_on_release_day,3.12.9,2026-03-29T18:04:43.297895+03:00,,150,Сбер (Сбербанк),сбер сбербанк,SBER,SBER,Сеть солнечных электростанций (СЭС) в Крыму компании Activ Solar,сеть солнечных электростанций сэс в крыму компании activ solar,2014-08-26,,2014-08-27,2014-08-26,00:20,,100.0,33.33,Переговоры,Влияние,Рыночная,Круговая
